"Service","EC2-Other($)","Elastic Container Service for Kubernetes($)","EC2-Instances($)","Key Management Service($)","Relational Database Service($)","Cost Explorer($)","Elastic Load Balancing($)","EC2 Container Registry (ECR)($)","CloudWatch($)","VPC($)","S3($)","Lambda($)","API Gateway($)","Elastic Container Service($)","Total costs($)"
"Service total","6.21564005","5.0215586709","0.7164","0.049731182","0.0021921465","0.000123871","6.836e-7","0","0","0","0","0","0","0","12.005646604"
"2023-12-10T00:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T01:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T02:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T03:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T04:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T05:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T06:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T07:00:00Z","","","","","0","","","0","","","","","","","0"
"2023-12-10T08:00:00Z","","","","","0","","","0","0","","","","","","0"
"2023-12-10T09:00:00Z","0.1963818056","0.059191139","0.0332","0.001344086","0","","","0","0","0","","","","","0.2901170306"
"2023-12-10T10:00:00Z","0.1924385446","0.1","0.0332","0.001344086","0","","0","0","0","0","0","","","","0.3269826306"
"2023-12-10T11:00:00Z","0.3120068212","0.144889722","0.0332","0.002688172","0","","0","0","0","0","0","","","","0.4927847152"
"2023-12-10T12:00:00Z","0.3686605795","0.2617640223","0.0332","0.002688172","0","","0.0000000533","0","0","0","","","","","0.6663128271"
"2023-12-10T13:00:00Z","0.3763907737","0.2894837053","0.0332","0.002688172","0","","0","0","0","0","","","","","0.701762651"
"2023-12-10T14:00:00Z","0.3721364344","0.3000234914","0.0332","0.002688172","0","","0.0000001072","0","0","0","","","","","0.708048205"
"2023-12-10T15:00:00Z","0.3178501871","0.3032607393","0.0332","0.002688172","0","","0","0","0","0","","0","0","","0.6569990984"
"2023-12-10T16:00:00Z","0.3120140365","0.299365","0.0332","0.002688172","0","","0","0","0","0","","0","0","","0.6472672085"
"2023-12-10T17:00:00Z","0.3120065729","0.299365","0.0332","0.002688172","0","","0.0000000643","0","0","0","","","","","0.6472598092"
"2023-12-10T18:00:00Z","0.3120057403","0.299365","0.0332","0.002688172","0","","0.0000000341","0","0","0","","0","0","","0.6472589464"
"2023-12-10T19:00:00Z","0.3120101392","0.299365","0.0332","0.002688172","0","","0","0","0","0","","0","0","0","0.6472633112"
"2023-12-10T20:00:00Z","0.3121916638","0.299365","0.0332","0.002688172","0","","0.0000000532","0","0","0","","0","0","0","0.647444889"
"2023-12-10T21:00:00Z","0.3120050321","0.299365","0.0332","0.002688172","0","","0.000000003","0","0","0","","","","0","0.6472582071"
"2023-12-10T22:00:00Z","0.3120055237","0.299365","0.0332","0.002688172","0","","0.000000003","0","0","0","","","","0","0.6472586987"
"2023-12-10T23:00:00Z","0.3120060914","0.299365","0.0332","0.002688172","0.0021921465","0.000123871","0.0000000007","0","0","0","","","","0","0.6495752816"
"2023-12-11T00:00:00Z","0.3125250729","0.299365","0.0332","0.002688172","0","","0.0000000563","0","0","0","","","","0","0.6477783012"
"2023-12-11T01:00:00Z","0.3120056253","0.299365","0.0332","0.002688172","0","","0.0000000458","0","0","0","","","","0","0.6472588431"
"2023-12-11T02:00:00Z","0.3121707943","0.2692958516","0.0332","0.002688172","0","","0.0000000012","0","0","0","0","","","0","0.6173548191"
"2023-12-11T03:00:00Z","0.2303903991","0.1","0.0332","0.001344086","0","","0","0","0","0","0","","","0","0.3649344851"
"2023-12-11T04:00:00Z","0.2081575918","0.1","0.0332","0.001344086","0","","0.0000001303","0","0","0","","","","0","0.3427018081"
"2023-12-11T05:00:00Z","0.2081569097","0.1","0.0332","0.001344086","0","","0.000000024","0","0","0","","","","0","0.3427010197"
"2023-12-11T06:00:00Z","0.0001237109","","0.0064","0","0","","0.0000001072","","0","","","","","","0.0065238181"
"2023-12-11T07:00:00Z","","","0.0064","","","","","","","","","","","","0.0064"
"2023-12-11T08:00:00Z","","","0.0064","","","","","","","","","","","","0.0064"
"2023-12-11T09:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T10:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T11:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T12:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T13:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T14:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T15:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T16:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T17:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T18:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T19:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T20:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T21:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T22:00:00Z","","","","","","","","","","","","","","","0"
"2023-12-11T23:00:00Z","","","","","","","","","","","","","","","0"
