"Service","EC2-Other($)","Elastic Container Service for Kubernetes($)","EC2-Instances($)","Key Management Service($)","Elastic Load Balancing($)","Relational Database Service($)","VPC($)","CloudWatch($)","Total costs($)"
"Service total","3.3533743222","2.059191139","0.7164","0.028225806","6.301e-7","0","0","0","6.1571918973"
"2023-12-10T00:00:00Z","","","","","","","","","0"
"2023-12-10T01:00:00Z","","","","","","","","","0"
"2023-12-10T02:00:00Z","","","","","","","","","0"
"2023-12-10T03:00:00Z","","","","","","","","","0"
"2023-12-10T04:00:00Z","","","","","","","","","0"
"2023-12-10T05:00:00Z","","","","","","","","","0"
"2023-12-10T06:00:00Z","","","","","","","","","0"
"2023-12-10T07:00:00Z","","","","","","","","","0"
"2023-12-10T08:00:00Z","","","","","","","","","0"
"2023-12-10T09:00:00Z","0.1963818056","0.059191139","0.0332","0.001344086","","0","0","0","0.2901170306"
"2023-12-10T10:00:00Z","0.1924385446","0.1","0.0332","0.001344086","0","0","","0","0.3269826306"
"2023-12-10T11:00:00Z","0.1560067921","0.1","0.0332","0.001344086","0","0","","0","0.2905508781"
"2023-12-10T12:00:00Z","0.1560055374","0.1","0.0332","0.001344086","0.0000000533","0","","0","0.2905496767"
"2023-12-10T13:00:00Z","0.1560076093","0.1","0.0332","0.001344086","0","0","","0","0.2905516953"
"2023-12-10T14:00:00Z","0.1560055374","0.1","0.0332","0.001344086","0.0000001072","0","","0","0.2905497306"
"2023-12-10T15:00:00Z","0.156009508","0.1","0.0332","0.001344086","0","0","","0","0.290553594"
"2023-12-10T16:00:00Z","0.1560139997","0.1","0.0332","0.001344086","0","0","","0","0.2905580857"
"2023-12-10T17:00:00Z","0.1560065399","0.1","0.0332","0.001344086","0.0000000643","0","","0","0.2905506902"
"2023-12-10T18:00:00Z","0.1560057054","0.1","0.0332","0.001344086","0.0000000341","0","","0","0.2905498255"
"2023-12-10T19:00:00Z","0.1560063442","0.1","0.0332","0.001344086","0","0","","0","0.2905504302"
"2023-12-10T20:00:00Z","0.1561903555","0.1","0.0332","0.001344086","0.0000000532","0","","0","0.2907344947"
"2023-12-10T21:00:00Z","0.1560049759","0.1","0.0332","0.001344086","0","0","","0","0.2905490619"
"2023-12-10T22:00:00Z","0.1560054951","0.1","0.0332","0.001344086","0","0","","0","0.2905495811"
"2023-12-10T23:00:00Z","0.1560060447","0.1","0.0332","0.001344086","0","0","","0","0.2905501307"
"2023-12-11T00:00:00Z","0.1560065326","0.1","0.0332","0.001344086","0.0000000542","0","","0","0.2905506728"
"2023-12-11T01:00:00Z","0.1560055905","0.1","0.0332","0.001344086","0.0000000458","0","","0","0.2905497223"
"2023-12-11T02:00:00Z","0.1561707904","0.1","0.0332","0.001344086","0.0000000012","0","","0","0.2907148776"
"2023-12-11T03:00:00Z","0.1560257008","0.1","0.0332","0.001344086","0","0","","0","0.2905697868"
"2023-12-11T04:00:00Z","0.1560258454","0.1","0.0332","0.001344086","0.0000001303","0","","0","0.2905700617"
"2023-12-11T05:00:00Z","0.1560270278","0.1","0.0332","0.001344086","0","0","","0","0.2905711138"
"2023-12-11T06:00:00Z","0.0000180399","","0.0064","0","0.0000000865","0","","0","0.0064181264"
"2023-12-11T07:00:00Z","","","0.0064","","","","","","0.0064"
"2023-12-11T08:00:00Z","","","0.0064","","","","","","0.0064"
"2023-12-11T09:00:00Z","","","","","","","","","0"
"2023-12-11T10:00:00Z","","","","","","","","","0"
"2023-12-11T11:00:00Z","","","","","","","","","0"
"2023-12-11T12:00:00Z","","","","","","","","","0"
"2023-12-11T13:00:00Z","","","","","","","","","0"
"2023-12-11T14:00:00Z","","","","","","","","","0"
"2023-12-11T15:00:00Z","","","","","","","","","0"
"2023-12-11T16:00:00Z","","","","","","","","","0"
"2023-12-11T17:00:00Z","","","","","","","","","0"
"2023-12-11T18:00:00Z","","","","","","","","","0"
"2023-12-11T19:00:00Z","","","","","","","","","0"
"2023-12-11T20:00:00Z","","","","","","","","","0"
"2023-12-11T21:00:00Z","","","","","","","","","0"
"2023-12-11T22:00:00Z","","","","","","","","","0"
"2023-12-11T23:00:00Z","","","","","","","","","0"
