Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/checkIsPrimeNumber?number=10100685076700195,1,0,104.59995800010802,104.59995800010802,104.59995800010802,104.59995800010802,5.0,0.003342529175415359,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/checkIsPrimeNumber?number=10220901135862518,1,0,199.8501660000329,199.8501660000329,199.8501660000329,199.8501660000329,5.0,0.003342529175415359,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/checkIsPrimeNumber?number=10329667889265652,1,0,108.08812499999476,108.08812499999476,108.08812499999476,108.08812499999476,5.0,0.003342529175415359,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/checkIsPrimeNumber?number=10383174562048342,1,0,55.20324999997683,55.20324999997683,55.20324999997683,55.20324999997683,5.0,0.003342529175415359,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/checkIsPrimeNumber?number=10412355126595685,1,0,25116.485385999113,25116.485385999113,25116.485385999113,25116.485385999113,5.0,0.003342529175415359,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,/checkIsPrimeNumber?number=10426902752348449,1,0,178.73387500003446,178.73387500003446,178.73387500003446,178.73387500003446,5.0,0.003342529175415359,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/checkIsPrimeNumber?number=10631311198359957,1,0,890.9851669995987,890.9851669995987,890.9851669995987,890.9851669995987,5.0,0.003342529175415359,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,/checkIsPrimeNumber?number=10849465078819060,1,0,65.80166699859546,65.80166699859546,65.80166699859546,65.80166699859546,5.0,0.003342529175415359,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/checkIsPrimeNumber?number=10857743875027786,1,0,252.9555410001194,252.9555410001194,252.9555410001194,252.9555410001194,5.0,0.003342529175415359,0.0,250,250,250,250,250,250,250,250,250,250,250
GET,/checkIsPrimeNumber?number=10954275794508301,1,0,174.45441700147057,174.45441700147057,174.45441700147057,174.45441700147057,5.0,0.003342529175415359,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/checkIsPrimeNumber?number=10983033764518508,1,0,555.0352089994703,555.0352089994703,555.0352089994703,555.0352089994703,5.0,0.003342529175415359,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/checkIsPrimeNumber?number=11071043149906381,1,0,110.63254200053052,110.63254200053052,110.63254200053052,110.63254200053052,5.0,0.003342529175415359,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/checkIsPrimeNumber?number=11079901553023338,1,0,194.9430000004213,194.9430000004213,194.9430000004213,194.9430000004213,5.0,0.003342529175415359,0.0,190,190,190,190,190,190,190,190,190,190,190
