Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/camelcase/convertToCamelCase?text=Did%20you%20hear%20about%20the%20mathematician%20who%E2%80%99s%20afraid%20of%20negative%20numbers%3F%20He%20will%20stop%20at%20nothing%20to%20avoid%20them.,19,0,52,55.47695821396222,37.32537501491606,91.83829100220464,88.0,0.005330976004064119,0.0,52,55,60,67,89,92,92,92,92,92,92
GET,/camelcase/convertToCamelCase?text=Have%20you%20heard%20about%20the%20new%20restaurant%20called%20Karma%3F%20There%E2%80%99s%20no%20menu%3A%20You%20get%20what%20you%20deserve.,20,0,51,51.1567499517696,37.402666988782585,76.44408399937674,76.0,0.005611553688488546,0.0,53,55,56,56,66,76,76,76,76,76,76
GET,/camelcase/convertToCamelCase?text=I%20have%20a%20few%20jokes%20about%20unemployed%20people%2C%20but%20none%20of%20them%20work.,21,0,50,62.40017666936009,29.78079198510386,177.20708399428986,52.0,0.005892131372912973,0.0,50,60,69,74,87,95,180,180,180,180,180
GET,/camelcase/convertToCamelCase?text=I%20have%20a%20split%20personality%20said%20Tom%2C%20being%20Frank.,19,0,54,61.57293199947545,37.76687500067055,103.61366599681787,39.0,0.005330976004064119,0.0,54,63,74,91,100,100,100,100,100,100,100
GET,/camelcase/convertToCamelCase?text=I%20threw%20a%20boomerang%20a%20few%20years%20ago.%20I%20now%20live%20in%20constant%20fear.,21,0,49,52.96622238182906,35.76987498672679,78.19324999582022,50.0,0.005892131372912973,0.0,49,53,59,61,67,77,78,78,78,78,78
GET,/camelcase/convertToCamelCase?text=I%20told%20my%20computer%20I%20needed%20a%20break%2C%20and%20now%20it%20won%E2%80%99t%20stop%20sending%20me%20Kit-Kats.,39,0,50,56.546391050617856,35.88883302290924,178.5569170024246,60.0,0.010942529692552664,0.0,50,53,59,63,84,85,180,180,180,180,180
GET,/camelcase/convertToCamelCase?text=I%20told%20my%20wife%20she%20should%20embrace%20her%20mistakes.%20She%20gave%20me%20a%20hug.,35,0,50,60.16116905791153,33.449542010203004,173.07958300807513,51.0,0.009820218954854956,0.0,50,53,59,77,110,130,170,170,170,170,170
GET,/camelcase/convertToCamelCase?text=I%20told%20my%20wife%20she%20was%20drawing%20her%20eyebrows%20too%20high.%20She%20looked%20surprised.,39,0,50,58.32160366266273,36.670333007350564,186.0838760039769,60.0,0.010942529692552664,0.0,50,57,65,67,81,110,190,190,190,190,190
GET,/camelcase/convertToCamelCase?text=I%20used%20to%20be%20a%20baker%2C%20but%20I%20couldn%27t%20make%20enough%20dough.,18,0,50,56.49070372682117,37.94474998721853,87.7104589890223,41.0,0.005050398319639692,0.0,52,54,64,64,83,88,88,88,88,88,88
GET,/camelcase/convertToCamelCase?text=I%20used%20to%20be%20a%20banker%2C%20but%20I%20lost%20interest.,14,0,52,58.40023200185637,38.0139579938259,99.81483401497826,32.0,0.003928087581941982,0.0,56,58,59,70,95,100,100,100,100,100,100
GET,/camelcase/convertToCamelCase?text=I%20used%20to%20play%20piano%20by%20ear%2C%20but%20now%20I%20use%20my%20hands.,45,0,49,52.378871356551016,33.67704202537425,91.89199999673292,38.0,0.012625995799099229,0.0,49,54,58,62,75,85,92,92,92,92,92
GET,/camelcase/convertToCamelCase?text=I%20used%20to%20play%20triangle%20in%20a%20reggae%20band%20but%20left%20because%20it%20was%20just%20one%20ting%20after%20another.,27,0,54,60.94528559198672,34.39254101249389,101.84279200620949,74.0,0.007575597479459537,0.0,54,61,84,87,97,99,100,100,100,100,100
GET,/camelcase/convertToCamelCase?text=I%20used%20to%20think%20I%20was%20indecisive%2C%20but%20now%20I%27m%20not%20too%20sure.,15,0,48,55.05662479554303,39.77116598980501,97.38954101339914,44.0,0.004208665266366409,0.0,48,54,61,61,85,97,97,97,97,97,97
GET,/camelcase/convertToCamelCase?text=I%20used%20to%20think%20I%20was%20indecisive.%20But%20now%20I%27m%20not%20so%20sure.,26,0,49,54.76438303706415,32.00254199327901,98.84829199290834,43.0,0.00729501979503511,0.0,49,56,63,65,84,86,99,99,99,99,99
GET,/camelcase/convertToCamelCase?text=I%20would%20tell%20a%20swimming%20joke%2C%20but%20I%20think%20it%27s%20too%20watered%20down%20to%20be%20funny.,22,0,51,60.16218377309005,35.41145901544951,101.38891698443331,58.0,0.006172709057337401,0.0,54,66,74,77,88,90,100,100,100,100,100
