Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/checkprime/checkIsPrimeNumber?number=10123571637912149,1,0,125.50983300002372,125.50983300002372,125.50983300002372,125.50983300002372,5.0,0.0002791502949247973,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/checkprime/checkIsPrimeNumber?number=10133351846780440,1,0,102.32970800007024,102.32970800007024,102.32970800007024,102.32970800007024,5.0,0.0002791502949247973,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/checkprime/checkIsPrimeNumber?number=10185143841101731,1,0,66.53458400001,66.53458400001,66.53458400001,66.53458400001,5.0,0.0002791502949247973,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/checkprime/checkIsPrimeNumber?number=10203073949294664,1,0,54.96004099995844,54.96004099995844,54.96004099995844,54.96004099995844,5.0,0.0002791502949247973,0.0,55,55,55,55,55,55,55,55,55,55,55
GET,/checkprime/checkIsPrimeNumber?number=10210833288860639,1,0,67.92874999996457,67.92874999996457,67.92874999996457,67.92874999996457,5.0,0.0002791502949247973,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/checkprime/checkIsPrimeNumber?number=10258167043473795,1,0,78.0992499999229,78.0992499999229,78.0992499999229,78.0992499999229,5.0,0.0002791502949247973,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/checkprime/checkIsPrimeNumber?number=10317913953635215,1,0,79.84458400005678,79.84458400005678,79.84458400005678,79.84458400005678,5.0,0.0002791502949247973,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/checkprime/checkIsPrimeNumber?number=10389422883163298,1,0,73.43433400001231,73.43433400001231,73.43433400001231,73.43433400001231,5.0,0.0002791502949247973,0.0,73,73,73,73,73,73,73,73,73,73,73
GET,/checkprime/checkIsPrimeNumber?number=10394992627771223,1,0,2598.808876000021,2598.808876000021,2598.808876000021,2598.808876000021,4.0,0.0002791502949247973,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/checkprime/checkIsPrimeNumber?number=10574132835842233,1,0,51.714790999994875,51.714790999994875,51.714790999994875,51.714790999994875,5.0,0.0002791502949247973,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/checkprime/checkIsPrimeNumber?number=10633141343965514,1,0,51.961916999971436,51.961916999971436,51.961916999971436,51.961916999971436,5.0,0.0002791502949247973,0.0,52,52,52,52,52,52,52,52,52,52,52
GET,/checkprime/checkIsPrimeNumber?number=10701914833776835,1,0,77.77958300005139,77.77958300005139,77.77958300005139,77.77958300005139,5.0,0.0002791502949247973,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/checkprime/checkIsPrimeNumber?number=10731271903240623,1,0,1452.096918000052,1452.096918000052,1452.096918000052,1452.096918000052,5.0,0.0002791502949247973,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/checkprime/checkIsPrimeNumber?number=10741607242768030,1,0,62.35629200000403,62.35629200000403,62.35629200000403,62.35629200000403,5.0,0.0002791502949247973,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/checkprime/checkIsPrimeNumber?number=10747788615204999,1,0,92.58362600030523,92.58362600030523,92.58362600030523,92.58362600030523,5.0,0.0002791502949247973,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/checkprime/checkIsPrimeNumber?number=10831196741438091,1,0,44.82216599990352,44.82216599990352,44.82216599990352,44.82216599990352,5.0,0.0002791502949247973,0.0,45,45,45,45,45,45,45,45,45,45,45
GET,/checkprime/checkIsPrimeNumber?number=10843601371839943,1,0,64.86458299991682,64.86458299991682,64.86458299991682,64.86458299991682,5.0,0.0002791502949247973,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/checkprime/checkIsPrimeNumber?number=10871616209213952,1,0,1609.5714180000869,1609.5714180000869,1609.5714180000869,1609.5714180000869,5.0,0.0002791502949247973,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/checkprime/checkIsPrimeNumber?number=10877002843537439,1,0,61.80570800006535,61.80570800006535,61.80570800006535,61.80570800006535,5.0,0.0002791502949247973,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/checkprime/checkIsPrimeNumber?number=10924198559709414,1,0,88.89100099997904,88.89100099997904,88.89100099997904,88.89100099997904,5.0,0.0002791502949247973,0.0,89,89,89,89,89,89,89,89,89,89,89
GET,/checkprime/checkIsPrimeNumber?number=10936641898443569,1,0,81.30525000001398,81.30525000001398,81.30525000001398,81.30525000001398,5.0,0.0002791502949247973,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/checkprime/checkIsPrimeNumber?number=10947237000212232,1,0,353.6717500001032,353.6717500001032,353.6717500001032,353.6717500001032,5.0,0.0002791502949247973,0.0,350,350,350,350,350,350,350,350,350,350,350
GET,/checkprime/checkIsPrimeNumber?number=10947455493741972,1,0,1362.632125999994,1362.632125999994,1362.632125999994,1362.632125999994,5.0,0.0002791502949247973,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/checkprime/checkIsPrimeNumber?number=10976566605934112,1,0,78.87108299973988,78.87108299973988,78.87108299973988,78.87108299973988,5.0,0.0002791502949247973,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/checkprime/checkIsPrimeNumber?number=10982509591966219,1,0,75.53099999995538,75.53099999995538,75.53099999995538,75.53099999995538,5.0,0.0002791502949247973,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/checkprime/checkIsPrimeNumber?number=11021262823264656,1,0,139.41445800003294,139.41445800003294,139.41445800003294,139.41445800003294,5.0,0.0002791502949247973,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/checkprime/checkIsPrimeNumber?number=11062031605696324,1,0,178.95695799984424,178.95695799984424,178.95695799984424,178.95695799984424,5.0,0.0002791502949247973,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/checkprime/checkIsPrimeNumber?number=11084446820446719,1,0,454.2455840000912,454.2455840000912,454.2455840000912,454.2455840000912,5.0,0.0002791502949247973,0.0,450,450,450,450,450,450,450,450,450,450,450
